postal_code,rooms,area,garden_area,price
6263,2,40,0,244000
3295,0,920,0,2000000
6380,4,100,0,850000
9020,5,122,0,258000
2603,0,700,0,289000
1140,4,87,0,349000
6263,2,43,0,264000
6850,4,86,0,519000
6393,5,326,212,2950000
1010,5,328,0,8500000
9554,3,80,0,97000
6263,3,77,0,500000
1140,4,87,0,389000
9500,3,95,0,687460
7201,0,433,0,490000
8570,5,118,0,397000
9500,1,37,0,0
6263,3,59,0,375000
1180,2,57,0,299000
9581,4,110,0,355380
1190,2,49,0,750000
1190,4,438,601,7490000
1190,5,207,0,3290000
1190,3,85,0,1390000
9500,2,56,0,0
1190,4,189,0,2261000
1070,3,79,0,433000
1220,6,232,0,1826000
2493,6,112,0,163500
1210,2,38,0,113000
1070,3,79,0,433000
1220,6,232,0,1826000
1190,4,189,0,2261000
9313,4,235,0,180000
1100,3,71,0,335000
5500,4,94,0,309000
2285,0,0,0,350000
1190,4,123,0,1980000
1190,5,196,0,2930000
6263,2,47,0,294000
4623,6,220,0,0
2273,2,50,0,189000
5591,55,150,0,595000
6460,7,195,0,490000
1050,5,123,0,498000
1060,3,84,0,590000
9586,4,97,0,179000
6352,4,145,0,1950000
1230,7,270,500,1150000
8055,4,98,0,398385
1140,3,77,0,462060
1140,2,42,0,272584
1140,2,40,0,272584
1140,3,71,0,482460
1140,3,79,0,462060
1190,4,122,0,1198000
1230,17,638,0,2500000
3003,0,1100,0,990000
2821,5,228,0,974000
9081,0,1303,0,250000
1070,4,177,0,2200000
1030,3,160,0,3539100
4880,8,240,0,0
2460,2,45,0,165000
1030,2,45,0,749900
1160,3,80,0,829000
1160,3,96,0,797000
1120,1,35,0,183000
1120,25,63,0,319000
1160,3,108,0,1145000
1120,3,66,0,496000
1120,1,36,0,186000
1030,3,78,0,1198900
8970,3,62,0,453000
4820,2,63,0,260000
1220,1,44,0,199000
1100,1,30,0,139000
1210,0,100,0,440000
1150,2,65,0,334305
1110,1,42,0,184000
1150,2,66,0,332750
1030,4,113,0,1689300
1030,3,102,0,2229600
1030,3,122,0,2193700
1100,3,73,0,526000
1030,2,55,0,824900
4600,0,86,0,279900
2371,2,60,0,289000
4481,3,88,0,270000
4502,3,78,0,323000
1090,2,57,0,327600
6080,2,61,0,538200
6845,55,125,272,725000
1180,3,86,0,749000
1180,3,74,0,529000
1140,3,85,0,380000
1010,5,288,0,7600000
1010,35,214,0,6200000
1010,0,512,0,11700000
1010,5,437,0,11450000
1010,3,213,0,5900000
8230,7,270,0,795000
1010,2,63,0,890000
1030,2,49,0,362000
1090,3,86,0,560560
1030,3,81,0,612590
1030,3,70,0,577940
5020,4,113,0,495000
4810,4,89,0,763400
4810,3,69,0,536800
1030,5,159,0,2111560
1210,2,38,0,113000
1190,0,217,0,2317000
1220,0,395,0,1826000
1030,4,119,0,1167540
1030,4,110,0,868000
1070,4,99,0,980000
1110,3,76,0,333300
1090,3,74,0,550550
1090,3,83,0,585130
5710,2,56,0,340000
1120,2,71,0,265000
4623,4,122,0,335000
6020,3,103,0,1150000
8020,2,69,0,32753261
1190,3,82,0,475000
5751,6,199,0,1150000
6922,3,83,0,490000
4222,0,12,0,19200
9020,0,82,0,349000
2522,0,440,0,374000
1110,3,73,0,255000
2534,3,76,0,289500
3500,3,58,0,300000
4201,75,158,85,699000
5630,0,400,0,655000
1030,3,88,0,599000
5550,0,210,0,215000
5630,4,202,0,1950000
5760,4,258,0,3290000
5550,0,105,0,150000
5630,4,203,0,2250000
1220,2,55,0,535400
8302,3,65,0,132900
4201,75,159,85,699000
4201,75,167,228,819000
4600,2,89,0,165000
5722,8,317,0,1590000
1220,2,49,0,599000
1210,3,59,0,298000
